level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1700	2200	-1	
2	1	1	0	0	0	236	108	1267	76	-1	
3	1	1	1	0	0	236	108	1267	76	-1	
4	1	1	1	1	0	236	108	1267	76	-1	
5	1	1	1	1	1	236	108	1267	76	95.000000	 
2	1	2	0	0	0	284	189	941	91	-1	
3	1	2	1	0	0	284	189	941	91	-1	
4	1	2	1	1	0	1010	189	215	27	-1	
5	1	2	1	1	1	1010	200	4	5	89.828537	i
5	1	2	1	1	2	1185	189	40	27	91.742088	ist:
4	1	2	1	2	0	284	197	905	47	-1	
5	1	2	1	2	1	284	214	40	25	92.777016	83-
5	1	2	1	2	2	334	215	53	25	96.956123	One
5	1	2	1	2	3	397	215	27	24	96.780373	of
5	1	2	1	2	4	431	214	41	24	96.780373	the
5	1	2	1	2	5	481	212	123	32	96.652534	following
5	1	2	1	2	6	616	215	111	25	96.840950	muscles
5	1	2	1	2	7	738	207	93	31	92.448692	cannot
5	1	2	1	2	8	841	205	106	29	74.008995	Perform
5	1	2	1	2	9	957	201	92	41	96.970428	flexion
5	1	2	1	2	10	1061	198	27	25	96.893692	of
5	1	2	1	2	11	1096	197	43	24	96.893692	the
5	1	2	1	2	12	1149	199	40	20	95.888870	wri
4	1	2	1	3	0	324	236	831	44	-1	
5	1	2	1	3	1	324	259	21	18	93.262680	a.
5	1	2	1	3	2	364	253	108	25	93.141449	Pronator
5	1	2	1	3	3	480	249	132	31	82.307175	quadratus.
5	1	2	1	3	4	847	242	21	25	92.490601	b.
5	1	2	1	3	5	880	243	79	25	96.764046	Flexor
5	1	2	1	3	6	968	238	86	33	95.276787	pollicis
5	1	2	1	3	7	1065	236	90	29	96.571777	longus.
2	1	3	0	0	0	325	274	805	45	-1	
3	1	3	1	0	0	325	274	805	45	-1	
4	1	3	1	1	0	325	274	805	45	-1	
5	1	3	1	1	1	325	297	20	18	89.787888	c.
5	1	3	1	1	2	357	290	77	25	96.523895	Flexor
5	1	3	1	1	3	443	287	114	31	93.167404	digitorum
5	1	3	1	1	4	568	289	131	30	93.009140	profundus.
5	1	3	1	1	5	845	280	22	24	89.646820	d.
5	1	3	1	1	6	880	281	79	24	96.819183	Flexor
5	1	3	1	1	7	967	276	61	31	91.540253	carpi
5	1	3	1	1	8	1040	274	90	25	91.540253	ulnaris.
2	1	4	0	0	0	287	332	979	160	-1	
3	1	4	1	0	0	287	332	979	160	-1	
4	1	4	1	1	0	287	332	979	65	-1	
5	1	4	1	1	1	287	355	40	24	90.902412	84-
5	1	4	1	1	2	336	352	153	28	96.894554	Concerning
5	1	4	1	1	3	499	350	41	25	96.422104	the
5	1	4	1	1	4	551	353	116	24	96.461494	relations
5	1	4	1	1	5	677	353	27	24	96.461494	of
5	1	4	1	1	6	712	353	40	24	96.998405	the
5	1	4	1	1	7	763	350	69	24	96.693893	ulnar
5	1	4	1	1	8	840	347	79	39	96.835732	artery
5	1	4	1	1	9	928	346	24	23	96.605354	at
5	1	4	1	1	10	961	344	42	40	97.000214	the
5	1	4	1	1	11	1009	332	77	44	96.989510	wrist,
5	1	4	1	1	12	1098	342	50	55	25.314627	oe
5	1	4	1	1	13	1158	342	22	18	97.014381	is
5	1	4	1	1	14	1190	335	76	60	36.863247	ae
4	1	4	1	2	0	327	376	872	43	-1	
5	1	4	1	2	1	327	397	20	18	95.941971	a.
5	1	4	1	2	2	367	391	49	24	96.371429	Lies
5	1	4	1	2	3	425	386	80	27	96.347336	medial
5	1	4	1	2	4	515	388	21	24	96.347336	to
5	1	4	1	2	5	546	388	38	25	93.211357	the
5	1	4	1	2	6	595	389	96	30	92.971130	pisiform
5	1	4	1	2	7	702	389	68	24	90.702972	bone.
5	1	4	1	2	8	845	380	21	25	39.193047	__.
5	1	4	1	2	9	878	382	51	24	96.866898	Lies
5	1	4	1	2	10	939	379	82	27	95.973045	medial
5	1	4	1	2	11	1031	379	23	23	96.606514	to
5	1	4	1	2	12	1064	376	39	24	93.643463	the
5	1	4	1	2	13	1114	378	63	20	83.571014	ulnar
5	1	4	1	2	14	1186	378	13	19	83.571014	n
4	1	4	1	3	0	327	423	501	29	-1	
5	1	4	1	3	1	327	435	21	17	90.445732	c.
