level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1644	2328	-1	
2	1	1	0	0	0	28	96	1450	1798	-1	
3	1	1	1	0	0	28	96	870	36	-1	
4	1	1	1	1	0	28	96	870	36	-1	
5	1	1	1	1	1	28	112	3	4	57.977882	‘
5	1	1	1	1	2	139	97	44	27	96.964401	16.
5	1	1	1	1	3	196	96	174	36	96.355270	Regarding
5	1	1	1	1	4	380	96	169	36	96.631523	fibroblast,
5	1	1	1	1	5	560	97	51	27	96.896408	the
5	1	1	1	1	6	622	96	153	36	96.789604	following
5	1	1	1	1	7	786	96	24	28	96.383308	is
5	1	1	1	1	8	822	99	76	24	96.312645	true:
3	1	1	2	0	0	186	148	1292	37	-1	
4	1	1	2	1	0	186	148	1292	37	-1	
5	1	1	2	1	1	186	157	27	20	96.230431	a.
5	1	1	2	1	2	236	149	113	36	96.664604	Deeply
5	1	1	2	1	3	360	149	179	36	96.413818	acidophilic
5	1	1	2	1	4	549	148	177	37	95.975922	cytoplasm.
5	1	1	2	1	5	980	149	28	27	92.220413	b.
5	1	1	2	1	6	1022	148	105	29	92.930618	Forms
5	1	1	2	1	7	1138	148	71	29	91.063667	C.T.
5	1	1	2	1	8	1221	148	93	29	93.205231	fibers
5	1	1	2	1	9	1326	148	29	29	93.205231	&
5	1	1	2	1	10	1368	149	110	28	96.696022	matrix
3	1	1	3	0	0	138	202	1221	124	-1	
4	1	1	3	1	0	186	202	1173	28	-1	
5	1	1	3	1	1	186	210	25	19	87.043945	c.
5	1	1	3	1	2	223	202	74	28	96.072220	Rich
5	1	1	3	1	3	311	202	28	27	92.936249	in
5	1	1	3	1	4	352	202	75	28	91.668510	sER.
5	1	1	3	1	5	1021	202	30	28	90.858879	d.
5	1	1	3	1	6	1062	202	63	28	95.198631	Has
5	1	1	3	1	7	1137	202	79	28	95.198631	dark
5	1	1	3	1	8	1227	203	132	27	96.887680	nucleus.
4	1	1	3	2	0	138	290	1121	36	-1	
5	1	1	3	2	1	138	291	44	27	96.883301	17.
5	1	1	3	2	2	195	291	63	27	96.465607	The
5	1	1	3	2	3	270	291	164	35	96.465607	cytoplasm
5	1	1	3	2	4	446	291	35	27	96.249725	of
5	1	1	3	2	5	490	291	202	35	94.883766	macrophage
5	1	1	3	2	6	704	290	24	28	94.883766	is
5	1	1	3	2	7	740	290	63	27	96.595474	rich
5	1	1	3	2	8	816	291	29	26	96.988976	in
