level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	90	175	1456	2008	-1	
3	1	1	1	0	0	90	175	1456	2008	-1	
4	1	1	1	1	0	153	175	1198	36	-1	
5	1	1	1	1	1	153	175	50	27	92.501717	89-
5	1	1	1	1	2	223	176	88	27	96.703278	What
5	1	1	1	1	3	324	177	139	26	96.663727	muscles
5	1	1	1	1	4	475	183	52	21	96.562393	are
5	1	1	1	1	5	541	183	173	28	96.718056	necessary
5	1	1	1	1	6	726	179	32	25	96.135529	to
5	1	1	1	1	7	772	178	79	27	96.299034	raise
5	1	1	1	1	8	864	179	52	26	96.727966	the
5	1	1	1	1	9	929	185	61	20	96.378540	arm
5	1	1	1	1	10	1002	179	101	27	96.378540	above
5	1	1	1	1	11	1115	180	52	26	96.589622	the
5	1	1	1	1	12	1180	180	171	27	96.695915	shoulder?
4	1	1	1	2	0	213	217	1168	35	-1	
5	1	1	1	2	1	213	223	26	20	96.540924	a.
5	1	1	1	2	2	262	217	67	27	96.913620	First
5	1	1	1	2	3	340	218	47	27	92.995407	the
5	1	1	1	2	4	398	219	231	33	92.402458	supraspinatus,
5	1	1	1	2	5	643	220	65	26	96.820007	next
5	1	1	1	2	6	718	219	50	27	96.820007	the
5	1	1	1	2	7	778	220	111	31	96.833771	deltoid,
5	1	1	1	2	8	904	220	56	27	97.002670	and
5	1	1	1	2	9	973	220	68	27	96.904266	then
5	1	1	1	2	10	1053	221	49	26	96.968781	the
5	1	1	1	2	11	1114	222	128	26	96.999573	serratus
5	1	1	1	2	12	1252	222	129	26	96.212967	anterior.
4	1	1	1	3	0	214	259	1166	36	-1	
5	1	1	1	3	1	214	259	26	26	92.528732	b.
5	1	1	1	3	2	262	259	67	27	96.974487	First
5	1	1	1	3	3	339	260	48	26	96.404793	the
5	1	1	1	3	4	398	260	111	31	96.820648	deltoid,
5	1	1	1	3	5	524	262	66	25	97.012367	next
5	1	1	1	3	6	599	261	50	26	93.227760	the
5	1	1	1	3	7	660	261	229	34	92.452141	supraspinatus,
5	1	1	1	3	8	904	262	56	26	96.810638	and
5	1	1	1	3	9	973	262	68	27	96.802078	then
5	1	1	1	3	10	1053	262	49	27	96.845184	the
5	1	1	1	3	11	1115	264	128	26	96.845184	serratus
5	1	1	1	3	12	1252	264	128	26	96.828323	anterior.
4	1	1	1	4	0	212	301	1166	35	-1	
5	1	1	1	4	1	212	306	26	21	90.912498	c.
5	1	1	1	4	2	261	301	67	27	96.797691	First
5	1	1	1	4	3	338	301	49	27	93.007042	the
5	1	1	1	4	4	397	302	230	34	93.007042	supraspinatus,
5	1	1	1	4	5	640	303	66	26	96.692719	next
5	1	1	1	4	6	715	303	50	26	96.301491	the
5	1	1	1	4	7	777	304	127	26	96.552063	serratus
5	1	1	1	4	8	915	304	129	31	96.716278	anterior,
5	1	1	1	4	9	1059	304	55	27	96.596977	and
5	1	1	1	4	10	1127	304	67	27	96.670883	then
5	1	1	1	4	11	1207	305	48	27	97.005577	the
5	1	1	1	4	12	1266	305	112	27	93.429489	deltoid.
4	1	1	1	5	0	212	343	1165	38	-1	
5	1	1	1	5	1	212	343	28	26	92.943230	d.
5	1	1	1	5	2	262	343	66	27	95.781509	First
5	1	1	1	5	3	338	344	49	26	95.781509	the
5	1	1	1	5	4	397	345	127	26	96.521385	serratus
5	1	1	1	5	5	535	345	129	30	96.992416	anterior,
5	1	1	1	5	6	678	346	65	26	96.828911	next
5	1	1	1	5	7	753	345	50	27	96.930573	the
5	1	1	1	5	8	813	345	110	32	96.705704	deltoid,
5	1	1	1	5	9	938	346	56	27	96.879799	and
5	1	1	1	5	10	1007	347	68	26	96.438316	then
5	1	1	1	5	11	1087	347	49	26	93.294891	the
5	1	1	1	5	12	1149	347	228	34	91.820053	supraspinatus.
4	1	1	1	6	0	151	408	981	38	-1	
5	1	1	1	6	1	151	408	50	27	92.525208	90-
5	1	1	1	6	2	221	409	105	27	96.708878	Which
5	1	1	1	6	3	339	410	34	26	96.363037	of
5	1	1	1	6	4	382	410	52	27	96.693474	the
5	1	1	1	6	5	445	410	155	35	96.386314	following
5	1	1	1	6	6	614	411	27	26	96.843552	is
5	1	1	1	6	7	650	410	78	36	96.127060	NOT
5	1	1	1	6	8	738	412	165	26	96.006973	contained
5	1	1	1	6	9	917	412	28	27	96.937889	in
5	1	1	1	6	10	957	412	52	27	96.923462	the
5	1	1	1	6	11	1023	413	109	26	96.128586	axilla?
4	1	1	1	7	0	211	451	968	38	-1	
5	1	1	1	7	1	211	457	26	21	96.867874	a.
5	1	1	1	7	2	258	451	116	35	96.637650	Axillary
5	1	1	1	7	3	386	452	83	27	96.804916	blood
5	1	1	1	7	4	483	453	126	27	96.291100	vessels.
5	1	1	1	7	5	916	454	27	27	92.780151	b.
5	1	1	1	7	6	958	454	104	35	96.635521	Lymph
5	1	1	1	7	7	1076	455	103	27	96.460190	nodes.
4	1	1	1	8	0	209	493	974	37	-1	
5	1	1	1	8	1	209	498	26	21	89.745369	c.
5	1	1	1	8	2	249	493	108	27	95.834625	Trunks
5	1	1	1	8	3	370	494	56	27	96.832954	and
5	1	1	1	8	4	439	494	136	27	96.237755	divisions
5	1	1	1	8	5	587	494	31	27	96.962357	of
5	1	1	1	8	6	629	494	122	28	96.737183	brachial
5	1	1	1	8	7	765	495	109	33	69.850288	plexus.
5	1	1	1	8	8	919	496	28	26	59.599262	d.
5	1	1	1	8	9	960	496	115	34	96.548370	Axillary
5	1	1	1	8	10	1088	502	95	21	95.483826	nerve.
4	1	1	1	9	0	149	559	1082	39	-1	
5	1	1	1	9	1	149	559	51	27	92.233482	91-
5	1	1	1	9	2	220	559	105	28	96.616768	Which
5	1	1	1	9	3	339	560	34	27	96.848320	of
5	1	1	1	9	4	383	560	51	27	96.766830	the
5	1	1	1	9	5	446	561	155	34	96.752121	following
5	1	1	1	9	6	617	561	26	27	96.752121	is
5	1	1	1	9	7	655	562	66	26	96.932770	true
5	1	1	1	9	8	735	562	28	26	95.710373	in
5	1	1	1	9	9	777	563	125	33	95.710373	respect
5	1	1	1	9	10	913	564	32	25	96.996193	to
5	1	1	1	9	11	957	563	52	27	96.581581	the
5	1	1	1	9	12	1022	563	100	27	96.691299	elbow
5	1	1	1	9	13	1133	563	98	35	96.041801	joint?
4	1	1	1	10	0	209	602	573	35	-1	
5	1	1	1	10	1	209	607	27	21	96.452621	a.
5	1	1	1	10	2	260	602	16	26	88.531265	It
5	1	1	1	10	3	290	602	22	26	95.019012	is
5	1	1	1	10	4	324	608	18	20	96.575516	a
5	1	1	1	10	5	356	602	83	34	96.706566	plane
5	1	1	1	10	6	450	604	68	32	96.380119	type
5	1	1	1	10	7	530	603	30	26	96.570969	of
5	1	1	1	10	8	571	603	126	33	96.464752	synovial
5	1	1	1	10	9	706	604	76	33	96.923981	joint.
4	1	1	1	11	0	210	643	1011	37	-1	
5	1	1	1	11	1	210	643	27	26	92.115898	b.
5	1	1	1	11	2	259	644	17	26	94.605789	It
5	1	1	1	11	3	290	644	21	26	95.252563	is
5	1	1	1	11	4	325	645	205	33	96.295135	strengthened
5	1	1	1	11	5	545	645	35	33	96.789368	by
5	1	1	1	11	6	591	645	49	26	96.789368	the
5	1	1	1	11	7	653	645	84	26	96.960175	radial
5	1	1	1	11	8	750	645	58	27	96.525124	and
5	1	1	1	11	9	818	646	79	26	96.525124	ulnar
5	1	1	1	11	10	907	646	142	27	96.808090	collateral
5	1	1	1	11	11	1063	646	158	34	96.029320	ligaments.
4	1	1	1	12	0	209	684	815	35	-1	
5	1	1	1	12	1	209	689	26	21	92.148148	c.
5	1	1	1	12	2	259	684	17	26	87.251152	It
5	1	1	1	12	3	290	684	21	26	94.076019	is
5	1	1	1	12	4	324	685	130	33	96.116882	supplied
5	1	1	1	12	5	468	685	35	34	96.562607	by
5	1	1	1	12	6	514	685	49	27	96.815102	the
5	1	1	1	12	7	575	685	130	34	96.728439	cephalic
5	1	1	1	12	8	718	686	57	26	93.280823	and
5	1	1	1	12	9	790	686	97	27	92.192078	basilic
5	1	1	1	12	10	898	687	126	26	96.422020	arteries.
4	1	1	1	13	0	208	725	833	37	-1	
5	1	1	1	13	1	208	725	29	27	92.676842	d.
5	1	1	1	13	2	259	725	16	27	94.286583	It
5	1	1	1	13	3	289	725	21	27	95.689659	is
5	1	1	1	13	4	325	726	162	27	96.137321	innervated
5	1	1	1	13	5	502	727	35	33	96.446381	by
5	1	1	1	13	6	548	727	49	26	96.903618	the
5	1	1	1	13	7	610	727	114	27	96.150833	median
5	1	1	1	13	8	738	727	56	27	96.981171	and
5	1	1	1	13	9	805	728	110	34	96.342148	axillary
5	1	1	1	13	10	927	734	114	21	96.842712	nerves.
4	1	1	1	14	0	147	791	889	34	-1	
5	1	1	1	14	1	147	791	50	26	92.698120	92-
5	1	1	1	14	2	209	791	181	34	95.896584	Regarding
5	1	1	1	14	3	404	792	55	26	95.896584	the
5	1	1	1	14	4	474	792	94	32	95.977379	hand,
5	1	1	1	14	5	583	792	105	27	96.348991	select
5	1	1	1	14	6	701	793	55	26	96.348991	the
5	1	1	1	14	7	769	795	68	25	95.860283	true
5	1	1	1	14	8	850	795	186	26	95.860283	statement:
4	1	1	1	15	0	195	832	1252	38	-1	
5	1	1	1	15	1	195	838	27	20	96.616264	a.
5	1	1	1	15	2	245	832	86	34	96.449585	Deep
5	1	1	1	15	3	345	833	110	27	96.677200	branch
5	1	1	1	15	4	470	834	29	26	96.485107	of
5	1	1	1	15	5	512	834	81	26	96.718811	ulnar
5	1	1	1	15	6	606	840	90	20	96.762054	nerve
5	1	1	1	15	7	710	835	53	26	96.270447	lies
5	1	1	1	15	8	774	835	92	26	96.789543	within
5	1	1	1	15	9	880	835	51	26	96.983917	the
5	1	1	1	15	10	944	836	155	33	96.873604	concavity
5	1	1	1	15	11	1111	836	30	26	96.462158	of
5	1	1	1	15	12	1153	836	80	34	96.948265	deep
5	1	1	1	15	13	1248	837	109	33	96.604759	palmar
5	1	1	1	15	14	1369	837	78	26	96.887482	arch.
4	1	1	1	16	0	196	873	1286	34	-1	
5	1	1	1	16	1	196	873	27	27	92.346931	b.
5	1	1	1	16	2	245	873	86	34	96.199669	Deep
5	1	1	1	16	3	345	874	112	33	96.397903	palmar
5	1	1	1	16	4	469	875	69	26	96.948250	arch
5	1	1	1	16	5	553	875	23	26	96.948250	is
5	1	1	1	16	6	591	875	74	27	96.491562	level
5	1	1	1	16	7	676	875	64	27	97.010246	with
5	1	1	1	16	8	753	875	51	27	96.925636	the
5	1	1	1	16	9	817	875	84	27	96.548508	distal
5	1	1	1	16	10	916	876	107	27	96.389191	border
5	1	1	1	16	11	1035	877	30	26	96.389191	of
5	1	1	1	16	12	1076	878	202	26	96.742241	outstretched
5	1	1	1	16	13	1292	878	103	27	96.469551	thumb
5	1	1	1	16	14	1407	878	75	27	96.577507	web.
4	1	1	1	17	0	194	914	1216	38	-1	
5	1	1	1	17	1	194	921	27	20	92.627739	c.
5	1	1	1	17	2	244	914	172	35	96.398598	Superficial
5	1	1	1	17	3	430	916	110	27	96.051064	branch
5	1	1	1	17	4	554	917	31	26	96.769836	of
5	1	1	1	17	5	594	917	51	26	96.618935	the
5	1	1	1	17	6	659	917	81	26	96.581085	ulnar
5	1	1	1	17	7	753	923	89	21	96.923393	nerve
5	1	1	1	17	8	856	918	135	33	96.791206	supplies
5	1	1	1	17	9	1002	918	52	26	93.250534	the
5	1	1	1	17	10	1068	918	186	34	91.905533	hypothenar
5	1	1	1	17	11	1266	920	144	26	95.319016	muscles.
4	1	1	1	18	0	99	912	1367	135	-1	
5	1	1	1	18	1	99	912	3	135	89.846931	|
5	1	1	1	18	2	194	957	28	26	92.530045	d.
5	1	1	1	18	3	242	957	92	27	96.604347	flexor
5	1	1	1	18	4	345	958	150	34	92.474678	digitorum
5	1	1	1	18	5	510	959	194	33	91.846466	superficialis
5	1	1	1	18	6	717	959	113	27	96.335075	tendon
5	1	1	1	18	7	844	960	107	27	95.396599	inserts
5	1	1	1	18	8	966	960	56	27	97.008034	into
5	1	1	1	18	9	1034	961	51	26	96.646805	the
5	1	1	1	18	10	1099	961	78	27	95.795586	base
5	1	1	1	18	11	1190	961	31	27	95.795586	of
5	1	1	1	18	12	1232	961	83	27	96.954788	distal
5	1	1	1	18	13	1330	962	136	33	96.490501	phalanx.
4	1	1	1	19	0	145	1019	1193	40	-1	
5	1	1	1	19	1	145	1022	90	27	87.194328	93-In
5	1	1	1	19	2	249	1024	54	26	96.983528	the
5	1	1	1	19	3	317	1019	43	31	50.111488	4"
5	1	1	1	19	4	373	1026	238	32	96.576210	compartment
5	1	1	1	19	5	624	1025	85	34	96.584244	deep
5	1	1	1	19	6	722	1026	33	26	96.187843	to
5	1	1	1	19	7	769	1027	155	26	96.187843	extensor
5	1	1	1	19	8	938	1027	206	27	96.141144	retinaculum
5	1	1	1	19	9	1162	1033	64	21	95.870476	one
5	1	1	1	19	10	1240	1028	32	27	95.870476	of
5	1	1	1	19	11	1284	1028	54	27	96.512817	the
4	1	1	1	20	0	205	1064	634	36	-1	
5	1	1	1	20	1	205	1064	162	35	95.861076	following
5	1	1	1	20	2	382	1067	180	26	96.642380	structures
5	1	1	1	20	3	578	1066	27	27	96.642380	is
5	1	1	1	20	4	621	1068	56	25	96.448669	not
5	1	1	1	20	5	690	1067	149	33	96.428162	passing:
4	1	1	1	21	0	193	1106	1224	35	-1	
5	1	1	1	21	1	193	1112	27	20	96.765694	a.
5	1	1	1	21	2	243	1106	147	27	96.601906	Extensor
5	1	1	1	21	3	401	1107	161	34	96.281776	digitorum.
5	1	1	1	21	4	906	1109	28	26	93.134453	b.
5	1	1	1	21	5	949	1109	131	27	93.032845	Anterior
5	1	1	1	21	6	1094	1110	208	27	90.255226	interosseous
5	1	1	1	21	7	1317	1117	100	21	96.012177	nerve.
4	1	1	1	22	0	192	1148	1239	36	-1	
5	1	1	1	22	1	192	1154	28	20	91.613380	c.
5	1	1	1	22	2	234	1148	133	27	93.263084	Anterior
5	1	1	1	22	3	379	1149	210	27	91.411469	interosseous
5	1	1	1	22	4	603	1151	102	33	95.125389	artery.
5	1	1	1	22	5	901	1151	29	27	93.204552	d.
5	1	1	1	22	6	946	1151	148	27	92.374641	Posterior
5	1	1	1	22	7	1108	1152	209	27	91.992073	interosseous
5	1	1	1	22	8	1332	1159	99	21	96.516281	nerve.
4	1	1	1	23	0	143	1213	1316	40	-1	
5	1	1	1	23	1	143	1213	51	27	92.828171	94-
5	1	1	1	23	2	204	1214	62	26	96.521141	The
5	1	1	1	23	3	278	1214	82	34	96.694366	deep
5	1	1	1	23	4	373	1215	115	27	96.612808	branch
5	1	1	1	23	5	501	1216	35	26	96.823708	of
5	1	1	1	23	6	545	1216	53	26	96.753105	the
5	1	1	1	23	7	612	1215	86	27	96.208580	ulnar
5	1	1	1	23	8	709	1216	82	27	96.532051	does
5	1	1	1	23	9	805	1216	72	27	96.164940	NOT
5	1	1	1	23	10	891	1217	157	27	96.573029	innervate
5	1	1	1	23	11	1060	1218	99	26	96.844368	which
5	1	1	1	23	12	1173	1218	34	27	96.912956	of
5	1	1	1	23	13	1217	1218	51	27	97.010658	the
5	1	1	1	23	14	1281	1219	178	34	95.999786	following?
4	1	1	1	24	0	203	1255	1343	38	-1	
5	1	1	1	24	1	203	1261	27	21	92.437195	a.
5	1	1	1	24	2	251	1255	145	28	92.437195	Abductor
5	1	1	1	24	3	405	1257	72	34	92.872185	digiti
5	1	1	1	24	4	490	1257	110	27	92.986412	minimi.
5	1	1	1	24	5	906	1259	28	26	92.435158	b.
5	1	1	1	24	6	950	1259	97	27	93.151451	Flexor
5	1	1	1	24	7	1059	1259	71	34	92.191483	digiti
5	1	1	1	24	8	1143	1260	101	27	92.444550	minimi
5	1	1	1	24	9	1257	1260	100	27	96.936478	brevis.
5	1	1	1	24	10	1545	1289	1	3	80.194382	|
4	1	1	1	25	0	201	1296	1345	33	-1	
5	1	1	1	25	1	201	1303	26	20	90.375763	c.
5	1	1	1	25	2	253	1298	169	26	89.751457	Lumbricals
